date, pm25, pm10, o3, no2, so2
2015/8/23, , 13, 34, 10, 
2015/8/24, , 12, 26, 9, 
2015/8/25, , 8, 34, 6, 
2015/4/1, , 7, 29, 7, 
2015/4/2, , 7, 30, 10, 
2015/4/3, , 6, 24, 9, 
2015/4/4, , 7, 32, 9, 
2015/4/5, , 8, 33, 9, 1
2015/4/6, , 8, 34, 12, 
2015/4/7, , 12, 37, 17, 1
2015/4/8, , 13, 41, 19, 
2015/4/9, , 17, 44, 20, 1
2015/4/10, , 23, 44, 17, 1
2015/4/11, , 17, 27, 9, 
2015/4/12, , 14, , , 
2015/4/14, , 19, 39, 18, 
2015/4/15, , 18, 40, 17, 
2015/4/16, , 20, 22, 15, 
2015/4/17, , 21, 36, 11, 
2015/4/18, , 15, 42, 5, 
2015/4/19, , 9, 42, 9, 
2015/4/20, , 12, 43, 13, 1
2015/4/21, , 18, 46, 16, 
2015/4/22, , 18, 40, 14, 
2015/4/23, , 20, 48, 12, 
2015/4/24, , 24, 42, 16, 
2015/4/25, , 19, 31, 12, 
2015/4/26, , 14, 37, 12, 
2015/4/27, , 11, 24, 9, 
2015/4/28, , 9, 31, 10, 
2015/4/29, , 14, 38, 9, 
2015/4/30, , 12, 28, 8, 
2015/5/1, , 11, 25, 6, 
2015/5/2, , 12, 25, 7, 
2015/5/3, , 11, 21, 8, 
2015/5/4, , 9, 28, 15, 
2015/5/5, , 13, 35, 11, 
2015/5/6, , 12, 40, 8, 
2015/5/7, , 8, 37, 16, 1
2015/5/8, , 11, 31, 11, 
2015/5/9, , 9, 44, 8, 
2015/5/10, , 7, 44, 11, 
2015/5/11, , 10, 51, 15, 
2015/5/12, , 15, 60, 11, 
2015/5/13, , 21, 44, 7, 
2015/5/14, , 22, 37, 4, 
2015/5/15, , 8, 39, 7, 
2015/5/16, , 8, 39, 7, 
2015/5/17, , 12, 42, 10, 
2015/5/18, , 10, 31, 12, 
2015/5/19, , 15, 29, 10, 
2015/5/20, , 10, 27, 9, 
2015/5/21, , 7, 37, 12, 
2015/5/22, , 13, 23, 10, 
2015/5/23, , 19, , , 
2015/5/25, , 10, 28, 8, 
2015/5/26, , 9, 36, 14, 
2015/5/27, , 12, 45, 14, 1
2015/5/28, , 15, 46, 13, 
2015/5/29, , 15, 36, 8, 
2015/5/30, , 13, 18, 6, 
2015/5/31, , 11, 32, 6, 
2015/6/1, , 13, 38, 8, 
2015/6/2, , 10, 49, 9, 
2015/6/3, , 12, 57, 10, 
2015/6/4, , 17, 60, 12, 
2015/6/5, , 19, 58, 11, 
2015/6/6, , 20, 59, 6, 
2015/6/7, , 11, 45, 6, 
2015/6/8, , 8, 27, 7, 
2015/6/9, , 9, 21, 6, 
2015/6/10, , 14, 44, 9, 
2015/6/11, , 19, 52, 10, 
2015/6/12, , 18, 47, 11, 
2015/6/13, , 16, 41, 6, 
2015/6/14, , 9, 37, 6, 
2015/6/15, , 9, 31, 9, 
2015/6/16, , 12, 44, 9, 
2015/6/17, , 16, 32, 12, 
2015/6/18, , 17, 35, 10, 
2015/6/19, , 12, 29, 8, 
2015/6/20, , 11, 26, 9, 
2015/6/21, , 10, 27, 6, 
2015/6/22, , 8, 33, 7, 
2015/6/23, , 7, 41, 10, 
2015/6/24, , 7, 47, 14, 
2015/6/25, , 11, 55, 14, 
2015/6/26, , 14, 44, 12, 
2015/6/27, , 16, 14, 11, 
2015/6/28, , 15, 47, 12, 
2015/6/29, , 13, 60, 13, 
2015/6/30, , 17, 84, 16, 
2015/1/2, , 32, 7, 17, 1
2015/1/3, , 24, 23, 21, 
2015/1/4, , 16, 21, 13, 
2015/1/5, , 10, 4, 23, 2
2015/1/6, , 12, 1, 29, 2
2015/1/7, , 20, 2, 28, 2
2015/1/8, , 24, 25, 23, 2
2015/1/9, , 16, 27, 10, 1
2015/1/10, , 8, 24, 4, 
2015/1/11, , 4, 27, 4, 
2015/1/12, , 5, 26, 7, 
2015/1/13, , 7, 24, 18, 1
2015/1/14, , 10, 26, 11, 
2015/1/15, , 7, 12, 13, 1
2015/1/16, , 7, 1, 23, 2
2015/1/17, , 14, , 18, 1
2015/1/18, , 12, , 14, 1
2015/1/19, , 9, 4, 12, 
2015/1/20, , 16, 2, 21, 1
2015/1/21, , 23, 12, 19, 
2015/1/22, , 19, 9, 12, 
2015/1/23, , 24, 2, 17, 1
2015/1/24, , 27, 8, 16, 
2015/1/25, , 22, 19, 13, 
2015/1/26, , 19, 20, 18, 
2015/1/27, , 13, 17, 15, 
2015/1/28, , 10, 26, 16, 
2015/1/29, , 12, 25, 11, 
2015/1/30, , 8, 29, 12, 
2015/1/31, , 6, 25, 7, 
2015/2/1, , 6, 21, , 
2015/2/2, , 8, 18, 6, 
2015/2/3, , 4, 17, 16, 1
2015/2/4, , 10, 20, 17, 
2015/2/5, , 17, 19, 14, 
2015/2/6, , 19, 24, 11, 1
2015/2/7, , 27, 22, 9, 1
2015/2/8, , 32, 13, 20, 1
2015/2/9, , 40, 15, 28, 2
2015/2/10, , 38, 17, 29, 
2015/2/11, , 26, 7, 25, 1
2015/2/12, , 26, 3, 31, 1
2015/2/13, , 42, 3, 35, 1
2015/2/14, , 47, 7, 34, 2
2015/2/15, , 39, 5, 29, 1
2015/2/16, , 38, 4, 26, 1
2015/2/17, , 41, 4, 28, 
2015/2/18, , 44, 7, 27, 
2015/2/19, , 36, 12, 22, 1
2015/2/20, , 35, 22, 29, 1
2015/2/21, , 34, 27, 27, 1
2015/2/22, , 19, 26, 14, 1
2015/2/23, , 9, 18, 18, 
2015/2/24, , 15, 22, 18, 
2015/2/25, , 11, 18, 16, 
2015/2/26, , 9, 24, 20, 1
2015/2/27, , 12, 20, 20, 1
