date, pm25, pm10, o3, no2, so2, co
2019/10/12, 188, 184, 30, 20, 7, 12
2019/10/13, 217, 208, 28, 22, 7, 14
2019/10/14, 201, 217, 43, 30, 6, 19
2019/10/15, 200, 233, 45, 31, 7, 15
2019/10/16, 219, 224, 108, 22, 8, 14
2019/10/17, 204, 223, 20, 18, 5, 10
2019/10/18, 162, 127, 34, 20, 7, 9
2019/10/19, 161, 136, 16, 19, 7, 12
2019/10/20, 145, 199, 37, 20, 8, 11
2019/10/21, 207, 180, 23, 22, 9, 11
2019/10/22, 184, 254, 25, 32, 10, 14
2019/10/23, 207, 380, 40, 29, 10, 22
2019/10/24, 290, 244, 62, 26, 9, 17
2019/10/25, 208, 303, 53, 30, 8, 19
2019/10/26, 247, 365, 29, 26, 10, 16
2019/10/28, 326, 375, 21, 19, 15, 18
2019/10/29, 398, 424, 7, 22, 8, 20
2019/10/30, 400, 445, 6, 26, 10, 23
2019/10/31, 390, 495, 6, 28, 11, 25
2019/11/1, 424, 589, 13, 37, 11, 27
2019/11/2, 495, 367, 6, 26, 8, 18
2019/11/3, 384, 925, 5, 20, 6, 31
2019/11/4, 828, 389, 9, 24, 6, 17
2019/11/5, 400, 239, 17, 22, 7, 13
2019/11/6, 298, 181, 16, 31, 8, 14
2019/11/7, 197, 221, 6, 21, 6, 15
2019/11/8, 257, 190, 10, 25, 7, 16
2019/11/9, 233, 162, 6, 19, 6, 11
2019/11/10, 229, 180, 12, 21, 9, 12
2019/11/11, 246, 316, 14, 24, 10, 16
2019/11/12, 342, 534, 14, 24, 9, 18
2019/11/13, 509, 439, 12, 28, 10, 22
2019/11/14, 436, 511, 9, 30, 9, 24
2019/11/15, 446, 455, 8, 28, 8, 22
2019/11/16, 420, 236, 6, 17, 6, 13
2019/11/17, 265, 135, 5, 15, 5, 10
2019/11/18, 178, 155, 7, 18, 6, 15
2019/11/19, 209, 202, 7, 18, 6, 20
2019/11/20, 223, 338, 10, 15, 8, 23
2019/11/21, 296, 320, 10, 14, 9, 27
2019/11/22, 281, 294, 6, 14, 7, 25
2019/11/23, 281, 176, 6, 13, 5, 17
2019/11/24, 211, 139, 3, 10, 6, 16
2019/11/25, 172, 170, 4, 11, 6, 18
2019/11/26, 203, 233, 20, 12, 6, 20
2019/11/27, 204, 119, 6, 13, 4, 15
2019/11/28, 150, 80, 4, 16, 4, 13
2019/11/29, 116, 99, 6, 15, 5, 15
2019/11/30, 141, 150, 6, 18, 5, 17
2019/12/1, 194, 154, 13, 23, 5, 16
2019/12/2, 215, 202, 14, 25, 5, 18
2019/12/3, 249, 229, 12, 27, 6, 20
2019/12/4, 248, 289, 13, 29, 7, 20
2019/12/5, 272, 521, 8, 35, 6, 27
2019/12/6, 412, 335, 5, 28, 6, 23
2019/12/7, 334, 316, 6, 26, 5, 20
2019/12/8, 324, 381, 4, 25, 6, 23
2019/12/9, 353, 292, 8, 25, 5, 23
2019/12/10, 298, 401, 8, 29, 5, 26
2019/12/11, 359, 556, 10, 35, 5, 31
2019/12/12, 441, 450, 8, 17, 3, 24
2019/12/13, 400, 108, 4, 12, 3, 15
2019/12/14, 185, 135, 4, 11, 4, 18
2019/12/15, 188, 121, 3, 8, 3, 13
2019/12/16, 191, 112, 4, 10, 4, 14
2019/12/17, 178, 123, 6, 12, 4, 14
2019/12/18, 192, 160, 13, 15, 3, 15
2019/12/19, 242, 426, 9, 21, 4, 25
2019/12/20, 413, 482, 11, 20, 4, 25
2019/12/21, 451, 278, 6, 14, 3, 20
2019/12/22, 341, 141, 6, 12, 3, 16
2019/12/23, 224, 156, 6, 12, 4, 17
2019/12/24, 237, 332, 8, 16, 3, 21
2019/12/25, 351, 172, 5, 11, 3, 15
2019/12/26, 233, 204, 6, 12, 3, 16
2019/12/27, 272, 314, 7, 13, 4, 17
2019/12/28, 340, 375, 6, 13, 6, 21
2019/12/29, 360, 421, 10, 14, 6, 22
2019/12/30, 397, , , , , 
2019/7/1, 131, 160, 28, 15, 7, 9
2019/7/2, 152, 106, 16, 14, 5, 9
2019/7/3, 112, 81, 6, 16, 5, 10
2019/7/4, 100, 106, 8, 15, 6, 11
2019/7/5, 140, 97, 19, 16, 5, 9
2019/7/6, 102, 83, 14, 17, 6, 8
2019/7/7, 109, 128, 13, 20, 6, 11
2019/7/8, 135, 119, 6, 15, 6, 9
2019/7/9, 131, 282, 3, 18, 4, 8
2019/7/10, 151, 355, 8, 12, 6, 9
2019/7/11, 165, 399, 24, 17, 6, 9
2019/7/12, 164, 274, 18, 20, 8, 8
2019/7/13, 154, 259, 16, 20, 5, 7
2019/7/14, 157, 79, 5, 22, 5, 9
2019/7/15, 113, 86, 23, 20, 5, 7
2019/7/16, 99, 63, 16, 19, 4, 8
2019/7/17, 95, 92, 31, 29, 5, 12
2019/7/18, 115, 146, 36, 32, 5, 12
2019/7/19, 153, 115, 9, 27, 5, 11
2019/7/20, 137, 98, 15, 24, 5, 13
2019/7/21, 130, 121, 20, 26, 5, 17
2019/7/22, 157, 156, 31, 30, 5, 18
2019/7/23, 174, 174, 12, 29, 5, 15
2019/7/24, 142, 93, 2, 27, 5, 8
2019/7/25, 92, 93, 51, 18, 4, 7
2019/7/26, 108, 80, 50, 20, 5, 9
2019/7/27, 111, 88, 46, 18, 4, 8
2019/7/28, 92, 117, 29, 16, 4, 11
2019/7/29, 105, 106, 92, 20, 4, 9
2019/7/30, 115, 86, 49, 17, 4, 9
2019/7/31, 98, 109, 8, 19, 5, 75
2019/8/1, 105, 92, 11, 21, 4, 62
2019/8/2, 99, 109, 79, 21, 5, 10
2019/8/3, 138, 97, 35, 19, 4, 11
2019/8/4, 138, 115, 21, 23, 4, 12
2019/8/5, 155, 75, 31, 21, 4, 9
2019/8/6, 111, 88, 15, 18, 4, 10
2019/8/7, 113, 111, 31, 18, 5, 10
2019/8/8, 121, 97, 9, 16, 4, 4
2019/8/9, 79, 70, 16, 14, 5, 5
2019/8/10, 77, 82, 36, 18, 4, 7
2019/8/11, 104, 85, 5, 23, 6, 15
2019/8/12, 110, 73, 9, 17, 5, 7
2019/8/13, 90, 64, 9, 17, 4, 10
2019/8/14, 98, 59, 7, 12, 4, 10
2019/8/15, 89, 61, 10, 14, 4, 22
2019/8/16, 69, 52, 12, 13, 3, 15
2019/8/17, 57, 41, 6, 18, 4, 18
2019/8/18, 59, 88, 24, 22, 4, 21
2019/8/19, 118, 88, 13, 13, 4, 17
2019/8/20, 108, 106, 17, 20, 4, 13
2019/8/21, 122, 115, 9, 20, 4, 12
2019/8/22, 120, 140, 9, 26, 4, 15
2019/8/23, 143, 136, 7, 26, 4, 15
2019/8/24, 149, 80, 8, 14, 3, 8
2019/8/25, 104, 99, 8, 18, 4, 11
2019/8/26, 104, 122, 80, 22, 5, 13
2019/8/27, 128, 143, 45, 20, 5, 12
2019/8/28, 151, 109, 14, 20, 4, 9
2019/8/29, 123, 107, 36, 22, 5, 10
2019/8/30, 135, 129, 16, 29, 5, 13
2019/8/31, 155, 103, 26, 23, 4, 10
2019/9/1, 115, 104, 17, 20, 4, 9
2019/9/2, 148, 104, 16, 18, 4, 10
2019/9/3, 155, 142, 28, 24, 5, 11
2019/9/4, 168, 107, 24, 18, 4, 6
2019/9/5, 117, 108, 32, 20, 6, 12
2019/9/6, 134, 94, 17, 20, 5, 8
2019/9/7, 256, 71, 1, 13, 4, 7
2019/9/8, 95, 99, 8, 17, 4, 9
2019/9/9, 144, 106, 7, 18, 5, 9
2019/9/10, 153, 127, 21, 24, 5, 10
2019/9/11, 168, 122, 27, 20, 5, 9
2019/9/12, 162, 104, 14, 18, 5, 7
2019/9/13, 118, 100, 12, 16, 4, 5
2019/9/14, 100, , , , , 
2019/9/16, 151, 123, 30, 26, 5, 10
2019/9/17, 154, 116, 21, 23, 3, 8
2019/9/18, 130, 129, 7, 25, , 5
2019/9/19, 106, 134, 7, 21, 3, 8
2019/9/20, 105, , , , , 
2019/9/22, 134, 127, 14, 18, 5, 8
2019/9/23, 169, 117, 5, 17, 5, 7
2019/9/24, 145, 112, 14, 12, 6, 7
2019/9/25, 124, 102, 56, 12, 6, 8
2019/9/26, 115, 93, 53, 9, 7, 6
2019/9/27, 79, 97, 54, 10, 6, 6
2019/9/28, 105, 102, 11, 9, 5, 6
2019/9/29, 83, 100, 14, 12, 5, 12
2019/9/30, 149, 114, 15, 12, 5, 9
2019/4/1, 143, 196, 48, 46, 15, 13
2019/4/2, 193, 177, 41, 45, 14, 13
2019/4/3, 170, 236, 71, 45, 14, 11
2019/4/4, 212, 250, 93, 47, 16, 16
2019/4/5, 203, 297, 44, 37, 14, 13
2019/4/6, 187, 402, 28, 37, 12, 11
2019/4/7, 260, 271, 45, 37, 9, 11
2019/4/8, 165, 194, 52, 43, 12, 11
2019/4/9, 184, 245, 37, 44, 10, 12
2019/4/10, 188, 170, 38, 31, 9, 11
2019/4/11, 156, 194, 31, 26, 8, 7
2019/4/12, 144, 127, 30, 22, 8, 10
2019/4/13, 130, 120, 28, 23, 8, 16
2019/4/14, 137, 161, 26, 29, 10, 16
2019/4/15, 148, 192, 23, 25, 8, 9
2019/4/16, 150, 100, 27, 28, 7, 5
2019/4/17, 104, 86, 42, 25, 6, 7
2019/4/18, 139, 118, 39, 31, 12, 10
2019/4/19, 159, 158, 62, 47, 17, 13
2019/4/20, 195, 209, 41, 56, 17, 16
2019/4/21, 217, 198, 57, 41, 15, 17
2019/4/22, 204, 282, 54, 49, 14, 18
2019/4/23, 201, 229, 65, 40, 8, 14
2019/4/24, 174, 254, 61, 41, 9, 12
2019/4/25, 181, 181, 40, 37, 12, 13
2019/4/26, 176, 224, 31, 30, 9, 9
2019/4/27, 168, 180, 31, 30, 8, 8
2019/4/28, 159, 212, 40, 38, 10, 11
2019/4/29, 168, 260, 8, 61, 20, 14
2019/4/30, 186, 254, 76, 37, 13, 15
2019/5/1, 182, 284, 43, 28, 9, 12
2019/5/2, 160, 145, 59, 34, 9, 10
2019/5/3, 147, 147, 49, 38, 9, 11
2019/5/4, 163, 212, 48, 44, 12, 14
2019/5/5, 202, 322, 50, 59, 18, 21
