date, pm25
2018/7/26, 87
2018/7/27, 80
2018/7/28, 96
2018/7/29, 94
2018/7/30, 108
2018/7/31, 113
2018/8/1, 113
2018/8/2, 149
2018/8/3, 145
2018/8/4, 141
2018/8/5, 143
2018/8/6, 133
2018/8/7, 117
2018/8/8, 76
2018/8/9, 81
2018/8/10, 98
2018/8/11, 72
2018/8/12, 52
2018/8/13, 68
2018/8/14, 100
2018/8/15, 102
2018/8/16, 73
2018/8/17, 82
2018/8/18, 71
2018/8/19, 114
2018/8/20, 167
2018/8/21, 38
2018/8/23, 61
2018/8/24, 44
2018/8/25, 43
2018/8/26, 43
2018/8/27, 52
2018/8/28, 74
2018/8/29, 56
2018/8/30, 84
2018/8/31, 115
2018/9/1, 106
2018/9/3, 113
2018/9/4, 124
2018/9/5, 92
2018/9/6, 99
2018/9/7, 83
2018/9/8, 64
2018/9/9, 46
2018/9/10, 59
2018/9/12, 7
2018/9/13, 17
2018/9/14, 103
2018/9/15, 83
2018/9/16, 102
2018/9/17, 137
2018/9/18, 132
2018/9/19, 139
2018/9/20, 149
2018/9/21, 100
2018/9/22, 54
2018/9/23, 79
2018/9/24, 54
2018/9/25, 59
2018/9/26, 98
2018/9/27, 144
2018/9/28, 143
2018/9/29, 152
2018/9/30, 130
2018/4/1, 138
2018/4/2, 152
2018/4/3, 160
2018/4/4, 161
2018/4/5, 204
2018/4/6, 145
2018/4/7, 88
2018/4/8, 112
2018/4/9, 105
2018/4/10, 149
2018/4/11, 106
2018/4/12, 86
2018/4/13, 124
2018/4/14, 136
2018/4/15, 157
2018/4/16, 161
2018/4/17, 133
2018/4/18, 126
2018/4/19, 160
2018/4/20, 155
2018/4/21, 193
2018/4/22, 122
2018/4/23, 158
2018/4/24, 175
2018/4/25, 148
2018/4/26, 180
2018/4/27, 169
2018/4/28, 162
2018/4/29, 162
2018/4/30, 155
2018/5/1, 119
2018/5/2, 126
2018/5/3, 116
2018/5/4, 98
2018/5/5, 134
2018/5/6, 143
2018/5/7, 159
2018/5/8, 119
2018/5/9, 144
2018/5/10, 163
